COLUMN_NAME,DATA_TYPE,PKEY,FKEY
id,INTEGER,PRIMARY KEY,
artist,TEXT,,
asciiName,TEXT,,
availability,TEXT,,
borderColor,TEXT,,
cardKingdomFoilId,TEXT,,
cardKingdomId,TEXT,,
colorIdentity,TEXT,,
colorIndicator,TEXT,,
colors,TEXT,,
convertedManaCost,REAL,,
duelDeck,TEXT,,
edhrecRank,INTEGER,,
faceConvertedManaCost,REAL,,
faceName,TEXT,,
flavorName,TEXT,,
flavorText,TEXT,,
frameEffects,TEXT,,
frameVersion,TEXT,,
hand,TEXT,,
hasAlternativeDeckLimit,INTEGER,,
hasContentWarning,INTEGER,,
hasFoil,INTEGER,,
hasNonFoil,INTEGER,,
isAlternative,INTEGER,,
isFullArt,INTEGER,,
isOnlineOnly,INTEGER,,
isOversized,INTEGER,,
isPromo,INTEGER,,
isReprint,INTEGER,,
isReserved,INTEGER,,
isStarter,INTEGER,,
isStorySpotlight,INTEGER,,
isTextless,INTEGER,,
isTimeshifted,INTEGER,,
keywords,TEXT,,
layout,TEXT,,
leadershipSkills,TEXT,,
life,TEXT,,
loyalty,TEXT,,
manaCost,TEXT,,
mcmId,TEXT,,
mcmMetaId,TEXT,,
mtgArenaId,TEXT,,
mtgjsonV4Id,TEXT,,
mtgoFoilId,TEXT,,
mtgoId,TEXT,,
multiverseId,TEXT,,
name,TEXT,,
number,TEXT,,
originalReleaseDate,TEXT,,
originalText,TEXT,,
originalType,TEXT,,
otherFaceIds,TEXT,,
power,TEXT,,
printings,TEXT,,
promoTypes,TEXT,,
purchaseUrls,TEXT,,
rarity,TEXT,,
scryfallId,TEXT,,
scryfallIllustrationId,TEXT,,
scryfallOracleId,TEXT,,
setCode,TEXT,,
side,TEXT,,
subtypes,TEXT,,
supertypes,TEXT,,
tcgplayerProductId,TEXT,,
text,TEXT,,
toughness,TEXT,,
type,TEXT,,
types,TEXT,,
uuid,TEXT,,
variations,TEXT,,
watermark,TEXT,,
