COLUMN_NAME,DATA_TYPE,PKEY,FKEY
ID,INTEGER,"PRIMARY KEYS (ID,Date)",FOREIGN KEY PATIENT (ID)
Date,DATE,,
GOT,INTEGER,,
GPT,INTEGER,,
LDH,INTEGER,,
ALP,INTEGER,,
TP,REAL,,
ALB,REAL,,
UA,REAL,,
UN,INTEGER,,
CRE,REAL,,
T-BIL,REAL,,
T-CHO,INTEGER,,
TG,INTEGER,,
CPK,INTEGER,,
GLU,INTEGER,,
WBC,REAL,,
RBC,REAL,,
HGB,REAL,,
HCT,REAL,,
PLT,INTEGER,,
PT,REAL,,
APTT,INTEGER,,
FG,REAL,,
PIC,INTEGER,,
TAT,INTEGER,,
TAT2,INTEGER,,
U-PRO,TEXT,,
IGG,INTEGER,,
IGA,INTEGER,,
IGM,INTEGER,,
CRP,TEXT,,
RA,TEXT,,
RF,TEXT,,
C3,INTEGER,,
C4,INTEGER,,
RNP,TEXT,,
SM,TEXT,,
SC170,TEXT,,
SSA,TEXT,,
SSB,TEXT,,
CENTROMEA,TEXT,,
DNA,TEXT,,
DNA-II,INTEGER,,
