COLUMN_NAME,DATA_TYPE,PKEY,FKEY
id,INTEGER,PRIMARY KEY,
country_id,INTEGER,,
league_id,INTEGER,,
season,TEXT,,
stage,INTEGER,,
date,TEXT,,
match_api_id,INTEGER,,
home_team_api_id,INTEGER,,FOREIGN KEY TEAM (team_api_id)
away_team_api_id,INTEGER,,FOREIGN KEY TEAM (team_api_id)
home_team_goal,INTEGER,,
away_team_goal,INTEGER,,
home_player_X1,INTEGER,,
home_player_X2,INTEGER,,
home_player_X3,INTEGER,,
home_player_X4,INTEGER,,
home_player_X5,INTEGER,,
home_player_X6,INTEGER,,
home_player_X7,INTEGER,,
home_player_X8,INTEGER,,
home_player_X9,INTEGER,,
home_player_X10,INTEGER,,
home_player_X11,INTEGER,,
away_player_X1,INTEGER,,
away_player_X2,INTEGER,,
away_player_X3,INTEGER,,
away_player_X4,INTEGER,,
away_player_X5,INTEGER,,
away_player_X6,INTEGER,,
away_player_X7,INTEGER,,
away_player_X8,INTEGER,,
away_player_X9,INTEGER,,
away_player_X10,INTEGER,,
away_player_X11,INTEGER,,
home_player_Y1,INTEGER,,
home_player_Y2,INTEGER,,
home_player_Y3,INTEGER,,
home_player_Y4,INTEGER,,
home_player_Y5,INTEGER,,
home_player_Y6,INTEGER,,
home_player_Y7,INTEGER,,
home_player_Y8,INTEGER,,
home_player_Y9,INTEGER,,
home_player_Y10,INTEGER,,
home_player_Y11,INTEGER,,
away_player_Y1,INTEGER,,
away_player_Y2,INTEGER,,
away_player_Y3,INTEGER,,
away_player_Y4,INTEGER,,
away_player_Y5,INTEGER,,
away_player_Y6,INTEGER,,
away_player_Y7,INTEGER,,
away_player_Y8,INTEGER,,
away_player_Y9,INTEGER,,
away_player_Y10,INTEGER,,
away_player_Y11,INTEGER,,
home_player_1,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_2,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_3,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_4,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_5,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_6,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_7,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_8,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_9,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_10,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
home_player_11,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_1,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_2,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_3,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_4,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_5,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_6,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_7,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_8,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_9,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_10,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
away_player_11,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
goal,TEXT,,
shoton,TEXT,,
shotoff,TEXT,,
foulcommit,TEXT,,
card,TEXT,,
cross,TEXT,,
corner,TEXT,,
possession,TEXT,,
B365H,REAL,,
B365D,REAL,,
B365A,REAL,,
BWH,REAL,,
BWD,REAL,,
BWA,REAL,,
IWH,REAL,,
IWD,REAL,,
IWA,REAL,,
LBH,REAL,,
LBD,REAL,,
LBA,REAL,,
PSH,REAL,,
PSD,REAL,,
PSA,REAL,,
WHH,REAL,,
WHD,REAL,,
WHA,REAL,,
SJH,REAL,,
SJD,REAL,,
SJA,REAL,,
VCH,REAL,,
VCD,REAL,,
VCA,REAL,,
GBH,REAL,,
GBD,REAL,,
GBA,REAL,,
BSH,REAL,,
BSD,REAL,,
BSA,REAL,,
