COLUMN_NAME,DATA_TYPE,PKEY,FKEY
id,INTEGER,PRIMARY KEY,
player_fifa_api_id,INTEGER,,FOREIGN KEY PLAYER (player_fifa_api_id)
player_api_id,INTEGER,,FOREIGN KEY PLAYER (player_api_id)
date,TEXT,,
overall_rating,INTEGER,,
potential,INTEGER,,
preferred_foot,TEXT,,
attacking_work_rate,TEXT,,
defensive_work_rate,TEXT,,
crossing,INTEGER,,
finishing,INTEGER,,
heading_accuracy,INTEGER,,
short_passing,INTEGER,,
volleys,INTEGER,,
dribbling,INTEGER,,
curve,INTEGER,,
free_kick_accuracy,INTEGER,,
long_passing,INTEGER,,
ball_control,INTEGER,,
acceleration,INTEGER,,
sprint_speed,INTEGER,,
agility,INTEGER,,
reactions,INTEGER,,
balance,INTEGER,,
shot_power,INTEGER,,
jumping,INTEGER,,
stamina,INTEGER,,
strength,INTEGER,,
long_shots,INTEGER,,
aggression,INTEGER,,
interceptions,INTEGER,,
positioning,INTEGER,,
vision,INTEGER,,
penalties,INTEGER,,
marking,INTEGER,,
standing_tackle,INTEGER,,
sliding_tackle,INTEGER,,
gk_diving,INTEGER,,
gk_handling,INTEGER,,
gk_kicking,INTEGER,,
gk_positioning,INTEGER,,
gk_reflexes,INTEGER,,
