COLUMN_NAME,DATA_TYPE,PKEY,FKEY
id,INTEGER,PRIMARY KEY,
team_fifa_api_id,INTEGER,,FOREIGN KEY TEAM (team_fifa_api_id)
team_api_id,INTEGER,,FOREIGN KEY TEAM (team_api_id)
date,TEXT,,
buildUpPlaySpeed,INTEGER,,
buildUpPlaySpeedClass,TEXT,,
buildUpPlayDribbling,INTEGER,,
buildUpPlayDribblingClass,TEXT,,
buildUpPlayPassing,INTEGER,,
buildUpPlayPassingClass,TEXT,,
buildUpPlayPositioningClass,TEXT,,
chanceCreationPassing,INTEGER,,
chanceCreationPassingClass,TEXT,,
chanceCreationCrossing,INTEGER,,
chanceCreationCrossingClass,TEXT,,
chanceCreationShooting,INTEGER,,
chanceCreationShootingClass,TEXT,,
chanceCreationPositioningClass,TEXT,,
defencePressure,INTEGER,,
defencePressureClass,TEXT,,
defenceAggression,INTEGER,,
defenceAggressionClass,TEXT,,
defenceTeamWidth,INTEGER,,
defenceTeamWidthClass,TEXT,,
defenceDefenderLineClass,TEXT,,
