
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
FAC_ROOM_KEY                  ;VARCHAR2                                                                                                  ;         64
BUILDING_KEY                  ;VARCHAR2                                                                                                  ;         32
FLOOR                         ;VARCHAR2                                                                                                  ;         16
FLOOR_KEY                     ;VARCHAR2                                                                                                  ;         48
ROOM                          ;VARCHAR2                                                                                                  ;         32
SPACE_ID                      ;VARCHAR2                                                                                                  ;         84
MAJOR_USE_KEY                 ;VARCHAR2                                                                                                  ;         64
MAJOR_USE_DESC                ;VARCHAR2                                                                                                  ;         48
USE_KEY                       ;VARCHAR2                                                                                                  ;         64
USE_DESC                      ;VARCHAR2                                                                                                  ;         40
MINOR_USE_KEY                 ;VARCHAR2                                                                                                  ;         64
MINOR_USE_DESC                ;VARCHAR2                                                                                                  ;         64
ORGANIZATION_KEY              ;VARCHAR2                                                                                                  ;         64
ORGANIZATION_NAME             ;VARCHAR2                                                                                                  ;        128
MINOR_ORGANIZATION_KEY        ;VARCHAR2                                                                                                  ;         64
MINOR_ORGANIZATION            ;VARCHAR2                                                                                                  ;        128
AREA                          ;NUMBER                                                                                                    ;         22
ROOM_FULL_NAME                ;VARCHAR2                                                                                                  ;        256
DEPT_CODE                     ;VARCHAR2                                                                                                  ;         64
ACCESS_LEVEL                  ;VARCHAR2                                                                                                  ;         16
LATITUDE_WGS                  ;NUMBER                                                                                                    ;         22
LONGITUDE_WGS                 ;NUMBER                                                                                                    ;         22
NORTHING_SPCS                 ;NUMBER                                                                                                    ;         22
EASTING_SPCS                  ;NUMBER                                                                                                    ;         22
