
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
MIT_ID                        ;VARCHAR2                                                                                                  ;         36
KRB_NAME                      ;VARCHAR2                                                                                                  ;        120
FULL_NAME                     ;VARCHAR2                                                                                                  ;        400
PAYROLL_RANK                  ;VARCHAR2                                                                                                  ;        160
POSITION_TITLE                ;VARCHAR2                                                                                                  ;        300
IS_ACTIVE                     ;CHAR                                                                                                      ;          1
OFFICE_LOCATION               ;VARCHAR2                                                                                                  ;        160
ORGANIZATION                  ;VARCHAR2                                                                                                  ;        300
FIRST_NAME                    ;VARCHAR2                                                                                                  ;        160
LAST_NAME                     ;VARCHAR2                                                                                                  ;        160
MIDDLE_NAME                   ;VARCHAR2                                                                                                  ;        160
EMPLOYEE_TYPE                 ;VARCHAR2                                                                                                  ;        160
