
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
TERM_CODE                     ;VARCHAR2                                                                                                  ;         24
SUBJECT_ID                    ;VARCHAR2                                                                                                  ;         16
SESSION_NUMBER                ;NUMBER                                                                                                    ;         22
MEET_PLACE                    ;VARCHAR2                                                                                                  ;         80
MEET_START_TIME               ;VARCHAR2                                                                                                  ;         24
MEET_END_TIME                 ;VARCHAR2                                                                                                  ;         24
IAP_DAY                       ;VARCHAR2                                                                                                  ;          0
IAP_DATE                      ;DATE                                                                                                      ;          7
REMARKS                       ;VARCHAR2                                                                                                  ;        200
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
