
COLUMN_NAME                   ;DATA_TYPE                                                                                                 ;DATA_LENGTH
------------------------------;----------------------------------------------------------------------------------------------------------;-----------
SUBJECT_SUMMARY_KEY           ;VARCHAR2                                                                                                  ;         56
TERM_CODE                     ;VARCHAR2                                                                                                  ;         24
SUBJECT_ID                    ;VARCHAR2                                                                                                  ;         32
SUBJECT_ID_SORT               ;VARCHAR2                                                                                                  ;         48
SUBJECT_OR_CLUSTER            ;VARCHAR2                                                                                                  ;       4000
MASTER_SUBJECT_ID             ;VARCHAR2                                                                                                  ;         32
ULT_MASTER_SUBJECT_ID         ;VARCHAR2                                                                                                  ;         32
CLUSTER_TYPE                  ;VARCHAR2                                                                                                  ;          4
CLUSTER_TYPE_DESC             ;VARCHAR2                                                                                                  ;        120
CLUSTER_LIST                  ;VARCHAR2                                                                                                  ;       4000
DEPARTMENT_CODE               ;VARCHAR2                                                                                                  ;         32
DEPARTMENT_NAME               ;VARCHAR2                                                                                                  ;        120
SCHOOL_CODE                   ;VARCHAR2                                                                                                  ;          8
SCHOOL_NAME                   ;VARCHAR2                                                                                                  ;        120
SUBJECT_GROUP_ID              ;VARCHAR2                                                                                                  ;        128
WAREHOUSE_LOAD_DATE           ;DATE                                                                                                      ;          7
