COLUMN_NAME,DATA_TYPE,PKEY,FKEY
property_id,NUMBER,PRIMARY KEY,
property_type_code,TEXT,,FOREIGN KEY REAL_ESTATE_PROPERTIES-REF_PROPERTY_TYPES (property_type_code)
date_on_market,TIME,,
date_sold,TIME,,
property_name,TEXT,,
property_address,TEXT,,
room_count,NUMBER,,
vendor_requested_price,NUMBER,,
buyer_offered_price,NUMBER,,
agreed_selling_price,NUMBER,,
apt_feature_1,TEXT,,
apt_feature_2,TEXT,,
apt_feature_3,TEXT,,
fld_feature_1,TEXT,,
fld_feature_2,TEXT,,
fld_feature_3,TEXT,,
hse_feature_1,TEXT,,
hse_feature_2,TEXT,,
hse_feature_3,TEXT,,
oth_feature_1,TEXT,,
oth_feature_2,TEXT,,
oth_feature_3,TEXT,,
shp_feature_1,TEXT,,
shp_feature_2,TEXT,,
shp_feature_3,TEXT,,
other_property_details,TEXT,,
