COLUMN_NAME,DATA_TYPE,PKEY,FKEY
best_of,NUMBER,,
draw_size,NUMBER,,
loser_age,NUMBER,,
loser_entry,TEXT,,
loser_hand,TEXT,,
loser_ht,NUMBER,,
loser_id,NUMBER,,FOREIGN KEY WTA_1-PLAYERS (player_id)
loser_ioc,TEXT,,
loser_name,TEXT,,
loser_rank,NUMBER,,
loser_rank_points,NUMBER,,
loser_seed,NUMBER,,
match_num,NUMBER,,
minutes,NUMBER,,
round,TEXT,,
score,TEXT,,
surface,TEXT,,
tourney_date,TIME,,
tourney_id,TEXT,,
tourney_level,TEXT,,
tourney_name,TEXT,,
winner_age,NUMBER,,
winner_entry,TEXT,,
winner_hand,TEXT,,
winner_ht,NUMBER,,
winner_id,NUMBER,,FOREIGN KEY WTA_1-PLAYERS (player_id)
winner_ioc,TEXT,,
winner_name,TEXT,,
winner_rank,NUMBER,,
winner_rank_points,NUMBER,,
winner_seed,NUMBER,,
year,NUMBER,,
